"","Name","OverallRank","Seattle","NYC","UniqueToSeattle","UniqueToNYC"
"2470","Ewok",2470,5829,1799,FALSE,TRUE
"2471","Fancy",2471,NA,1405,FALSE,TRUE
"2472","Fang",2472,1959,4828,TRUE,FALSE
"2473","Fay",2473,5868,1801,FALSE,TRUE
"2474","Felicity",2474,2722,2459,FALSE,FALSE
"2475","Felipe",2475,NA,1406,FALSE,TRUE
"2476","Feta",2476,1962,4876,TRUE,FALSE
"2477","Figgy",2477,1963,4890,TRUE,FALSE
"2478","Fiji",2478,2733,2465,FALSE,FALSE
"2479","Finlay",2479,1523,NA,TRUE,FALSE
"2480","Finnley",2480,1964,4904,TRUE,FALSE
"2481","Fleur",2481,2743,2474,FALSE,FALSE
"2482","Flo",2482,1966,4926,TRUE,FALSE
"2483","Florence",2483,5979,1807,FALSE,TRUE
"2484","Ford",2484,2747,2481,FALSE,FALSE
"2485","Foster",2485,2748,2484,FALSE,FALSE
"2486","Francine",2486,1970,4960,TRUE,FALSE
"2487","Franco",2487,6020,1809,FALSE,TRUE
"2488","Frazier",2488,2754,2490,FALSE,FALSE
"2489","Frenchie",2489,NA,1414,FALSE,TRUE
"2490","Gabe",2490,1975,5011,TRUE,FALSE
"2491","Gabi",2491,1530,NA,TRUE,FALSE
"2492","Gage",2492,1978,5018,TRUE,FALSE
"2493","Geordi",2493,2774,2504,FALSE,FALSE
"2494","Gibby",2494,2778,2509,FALSE,FALSE
"2495","Gin",2495,NA,1423,FALSE,TRUE
"2496","Gingerbread",2496,1535,NA,TRUE,FALSE
"2497","Gingersnap",2497,1981,5084,TRUE,FALSE
"2498","Girl",2498,1536,NA,TRUE,FALSE
"2499","Glacier",2499,1983,5098,TRUE,FALSE
"2500","Gladys",2500,1984,5100,TRUE,FALSE
"2501","Glitch",2501,1985,5108,TRUE,FALSE
"2502","Gogo",2502,6241,1820,FALSE,TRUE
"2503","Goliath",2503,6249,1822,FALSE,TRUE
"2504","Gonzalez",2504,NA,1426,FALSE,TRUE
"2505","Goober",2505,2791,2517,FALSE,FALSE
"2506","Goofy",2506,NA,1427,FALSE,TRUE
"2507","Gotti",2507,6268,1823,FALSE,TRUE
"2508","Greg",2508,1990,5165,TRUE,FALSE
"2509","Gryffin",2509,2803,2526,FALSE,FALSE
"2510","Gumbo",2510,6356,1825,FALSE,TRUE
"2511","Gunnar",2511,2000,5206,TRUE,FALSE
"2512","Gus Gus",2512,1542,NA,TRUE,FALSE
"2513","Gussie",2513,2809,2529,FALSE,FALSE
"2514","Gustave",2514,2002,5215,TRUE,FALSE
"2515","Guy",2515,2811,2531,FALSE,FALSE
"2516","Habibi",2516,2005,5234,TRUE,FALSE
"2517","Haddie",2517,2006,5237,TRUE,FALSE
"2518","Haley",2518,2817,2532,FALSE,FALSE
"2519","Handsome",2519,2821,2538,FALSE,FALSE
"2520","Hanzo",2520,2009,5268,TRUE,FALSE
"2521","Harlequin",2521,2824,2540,FALSE,FALSE
"2522","Haskell",2522,2013,5282,TRUE,FALSE
"2523","Havana",2523,2828,2547,FALSE,FALSE
"2524","Haze",2524,6461,1828,FALSE,TRUE
"2525","Hector",2525,2017,5298,TRUE,FALSE
"2526","Hedwig",2526,2831,2553,FALSE,FALSE
"2527","Helen",2527,6493,1830,FALSE,TRUE
"2528","Helo",2528,1548,NA,TRUE,FALSE
"2529","Henrietta",2529,2019,5312,TRUE,FALSE
"2530","Hinata",2530,6552,1835,FALSE,TRUE
"2531","Hoagie",2531,2021,5343,TRUE,FALSE
"2532","Hobbs",2532,6566,1836,FALSE,TRUE
"2533","Hogan",2533,2022,5353,TRUE,FALSE
"2534","Hollywood",2534,6579,1837,FALSE,TRUE
"2535","Honeybee",2535,2025,5359,TRUE,FALSE
"2536","Howard",2536,2029,5379,TRUE,FALSE
"2537","Howdy",2537,2845,2568,FALSE,FALSE
"2538","Hurley",2538,2031,5399,TRUE,FALSE
"2539","Inari",2539,2856,2578,FALSE,FALSE
"2540","Isa",2540,2036,5450,TRUE,FALSE
"2541","Jam",2541,2874,2586,FALSE,FALSE
"2542","Javier",2542,6841,1856,FALSE,TRUE
"2543","Jazzie",2543,2041,5548,TRUE,FALSE
"2544","Jd",2544,6864,1857,FALSE,TRUE
"2545","Jean",2545,6865,1858,FALSE,TRUE
"2546","Jed",2546,NA,1443,FALSE,TRUE
"2547","Jelly Bean",2547,1557,NA,TRUE,FALSE
"2548","Jericho",2548,2888,2596,FALSE,FALSE
"2549","Jin",2549,2045,5591,TRUE,FALSE
"2550","Jodi",2550,6952,1864,FALSE,TRUE
"2551","Jody",2551,6954,1865,FALSE,TRUE
"2552","Jolly",2552,2901,2606,FALSE,FALSE
"2553","Joshua",2553,2047,5629,TRUE,FALSE
"2554","Judah",2554,NA,1450,FALSE,TRUE
"2555","June Bug",2555,1565,NA,TRUE,FALSE
"2556","Kale",2556,2056,5687,TRUE,FALSE
"2557","Kalli",2557,1567,NA,TRUE,FALSE
"2558","Kallie",2558,2057,5693,TRUE,FALSE
"2559","Kandy",2559,7098,1873,FALSE,TRUE
"2560","Kashi",2560,2921,2628,FALSE,FALSE
"2561","Kat",2561,2923,2629,FALSE,FALSE
"2562","Katniss",2562,2058,5733,TRUE,FALSE
"2563","Katya",2563,1572,NA,TRUE,FALSE
"2564","Kea",2564,2060,5746,TRUE,FALSE
"2565","Keaton",2565,2930,2633,FALSE,FALSE
"2566","Keeva",2566,2933,2634,FALSE,FALSE
"2567","Kelsey",2567,2063,5766,TRUE,FALSE
"2568","Kenya",2568,7195,1880,FALSE,TRUE
"2569","Kenzie",2569,1576,NA,TRUE,FALSE
"2570","Kepler",2570,2065,5783,TRUE,FALSE
"2571","Kerry",2571,2066,5787,TRUE,FALSE
"2572","Kia",2572,2067,5805,TRUE,FALSE
"2573","Kiera",2573,1579,NA,TRUE,FALSE
"2574","Killian",2574,2945,2646,FALSE,FALSE
"2575","Kimiko",2575,2069,5821,TRUE,FALSE
"2576","Kiri",2576,2953,2651,FALSE,FALSE
"2577","Kit Kat",2577,1585,NA,TRUE,FALSE
"2578","Kiva",2578,2073,5849,TRUE,FALSE
"2579","Koby",2579,NA,1463,FALSE,TRUE
"2580","Kookie",2580,7379,1888,FALSE,TRUE
"2581","Kooper",2581,NA,1464,FALSE,TRUE
"2582","Kovu",2582,2967,2661,FALSE,FALSE
"2583","Kujo",2583,NA,1467,FALSE,TRUE
"2584","Kulfi",2584,7419,1890,FALSE,TRUE
"2585","Kya",2585,2079,5924,TRUE,FALSE
"2586","Ladybird",2586,2980,2670,FALSE,FALSE
"2587","Lakota",2587,7491,1893,FALSE,TRUE
"2588","Langston",2588,7502,1895,FALSE,TRUE
"2589","Lara",2589,7506,1897,FALSE,TRUE
"2590","Lark",2590,2084,5980,TRUE,FALSE
"2591","Lassie",2591,NA,1471,FALSE,TRUE
"2592","Lennox",2592,2088,6031,TRUE,FALSE
"2593","Lentil",2593,2990,2683,FALSE,FALSE
"2594","Leyla",2594,2993,2687,FALSE,FALSE
"2595","Lilac",2595,7638,1899,FALSE,TRUE
"2596","Lion",2596,2095,6081,TRUE,FALSE
"2597","Lita",2597,3003,2698,FALSE,FALSE
"2598","Loco",2598,3012,2700,FALSE,FALSE
"2599","Lolli",2599,3013,2701,FALSE,FALSE
"2600","Lou Lou",2600,1597,NA,TRUE,FALSE
"2601","Luckie",2601,7818,1909,FALSE,TRUE
"2602","Lukas",2602,7855,1911,FALSE,TRUE
"2603","Luma",2603,2104,6170,TRUE,FALSE
"2604","Lychee",2604,7897,1914,FALSE,TRUE
"2605","Lydia",2605,3036,2715,FALSE,FALSE
"2606","Lynx",2606,1602,NA,TRUE,FALSE
"2607","Madame",2607,7946,1916,FALSE,TRUE
"2608","Madonna",2608,NA,1482,FALSE,TRUE
"2609","Magpie",2609,1606,NA,TRUE,FALSE
"2610","Malachi",2610,2111,6251,TRUE,FALSE
"2611","Margarita",2611,3063,2735,FALSE,FALSE
"2612","Marge",2612,3064,2736,FALSE,FALSE
"2613","Marilyn",2613,2117,6302,TRUE,FALSE
"2614","Mariposa",2614,2119,6304,TRUE,FALSE
"2615","Marlee",2615,2120,6312,TRUE,FALSE
"2616","Marshawn",2616,1618,NA,TRUE,FALSE
"2617","Matteo",2617,NA,1490,FALSE,TRUE
"2618","Maximillian",2618,8167,1937,FALSE,TRUE
"2619","Mayhem",2619,1627,NA,TRUE,FALSE
"2620","Maze",2620,1628,NA,TRUE,FALSE
"2621","Mazey",2621,1629,NA,TRUE,FALSE
"2622","Mazikeen",2622,3079,2757,FALSE,FALSE
"2623","Meelo",2623,2128,6402,TRUE,FALSE
"2624","Meena",2624,3085,2764,FALSE,FALSE
"2625","Mercer",2625,8272,1943,FALSE,TRUE
"2626","Merida",2626,2134,6436,TRUE,FALSE
"2627","Mikasa",2627,8330,1947,FALSE,TRUE
"2628","Milan",2628,8342,1948,FALSE,TRUE
"2629","Milk",2629,3102,2785,FALSE,FALSE
"2630","Milli",2630,2141,6483,TRUE,FALSE
"2631","Mingus",2631,3109,2789,FALSE,FALSE
"2632","Mio",2632,NA,1497,FALSE,TRUE
"2633","Miro",2633,3114,2791,FALSE,FALSE
"2634","Miska",2634,2145,6529,TRUE,FALSE
"2635","Miss Kitty",2635,1638,NA,TRUE,FALSE
"2636","Mitsu",2636,2147,6538,TRUE,FALSE
"2637","Montgomery",2637,3131,2801,FALSE,FALSE
"2638","Monya",2638,NA,1504,FALSE,TRUE
"2639","Moomoo",2639,8567,1956,FALSE,TRUE
"2640","Moony",2640,3135,2804,FALSE,FALSE
"2641","Mora",2641,3138,2806,FALSE,FALSE
"2642","Mosby",2642,8603,1957,FALSE,TRUE
"2643","Mosey",2643,2155,6616,TRUE,FALSE
"2644","Moto",2644,1643,NA,TRUE,FALSE
"2645","Mr. Darcy",2645,1644,NA,TRUE,FALSE
"2646","Mulder",2646,1645,NA,TRUE,FALSE
"2647","Mumu",2647,NA,1507,FALSE,TRUE
"2648","Muneco",2648,NA,1509,FALSE,TRUE
"2649","Mushroom",2649,3157,2815,FALSE,FALSE
"2650","Nali",2650,1650,NA,TRUE,FALSE
"2651","Nandor",2651,1652,NA,TRUE,FALSE
"2652","Nara",2652,2164,6729,TRUE,FALSE
"2653","Nessa",2653,8853,1967,FALSE,TRUE
"2654","Niki",2654,3179,2843,FALSE,FALSE
"2655","Nipsey",2655,2172,6811,TRUE,FALSE
"2656","Nita",2656,1659,NA,TRUE,FALSE
"2657","Nixon",2657,3184,2848,FALSE,FALSE
"2658","Nn",2658,NA,1523,FALSE,TRUE
"2659","Nomi",2659,3188,2851,FALSE,FALSE
"2660","Norma",2660,3194,2853,FALSE,FALSE
"2661","North",2661,8947,1971,FALSE,TRUE
"2662","Oberon",2662,3205,2858,FALSE,FALSE
"2663","Ocho",2663,1661,NA,TRUE,FALSE
"2664","Odysseus",2664,2175,6894,TRUE,FALSE
"2665","Ohana",2665,3212,2861,FALSE,FALSE
"2666","Oolong",2666,2180,6936,TRUE,FALSE
"2667","Osiris",2667,1664,NA,TRUE,FALSE
"2668","Osita",2668,9115,1983,FALSE,TRUE
"2669","Oxford",2669,NA,1526,FALSE,TRUE
"2670","Paddington",2670,2184,7003,TRUE,FALSE
"2671","Padfoot",2671,2185,7004,TRUE,FALSE
"2672","Palmer",2672,3227,2884,FALSE,FALSE
"2673","Paolo",2673,3233,2886,FALSE,FALSE
"2674","Patch",2674,3237,2891,FALSE,FALSE
"2675","Pecan",2675,9270,1991,FALSE,TRUE
